student_name,subject,mark
Ravi,Maths,85
Ravi,Science,78
Ravi,English,90
Ravi,Tamil,88
Ravi,Social,76
Priya,Maths,92
Priya,Science,81
Priya,English,85
Priya,Tamil,79
Priya,Social,88
Arun,Maths,74
Arun,Science,69
Arun,English,80
Arun,Tamil,91
Arun,Social,72
Divya,Maths,88
Divya,Science,95
Divya,English,77
Divya,Tamil,84
Divya,Social,90
Karthik,Maths,65
Karthik,Science,72
Karthik,English,68
Karthik,Tamil,75
Karthik,Social,80
Meena,Maths,91
Meena,Science,86
Meena,English,93
Meena,Tamil,89
Meena,Social,84
Suresh,Maths,58
Suresh,Science,63
Suresh,English,70
Suresh,Tamil,66
Suresh,Social,61
Anitha,Maths,79
Anitha,Science,83
Anitha,English,75
Anitha,Tamil,80
Anitha,Social,77
Vijay,Maths,95
Vijay,Science,90
Vijay,English,88
Vijay,Tamil,92
Vijay,Social,85
Lakshmi,Maths,70
Lakshmi,Science,74
Lakshmi,English,72
Lakshmi,Tamil,68
Lakshmi,Social,71
Kiran,Maths,82
Kiran,Science,77
Kiran,English,84
Kiran,Tamil,90
Kiran,Social,73
Sneha,Maths,89
Sneha,Science,92
Sneha,English,86
Sneha,Tamil,81
Sneha,Social,94
Manoj,Maths,61
Manoj,Science,58
Manoj,English,65
Manoj,Tamil,70
Manoj,Social,64
Deepa,Maths,93
Deepa,Science,88
Deepa,English,91
Deepa,Tamil,87
Deepa,Social,90
Ganesh,Maths,72
Ganesh,Science,75
Ganesh,English,68
Ganesh,Tamil,77
Ganesh,Social,73
Pooja,Maths,84
Pooja,Science,80
Pooja,English,89
Pooja,Tamil,82
Pooja,Social,86
Rahul,Maths,67
Rahul,Science,71
Rahul,English,64
Rahul,Tamil,69
Rahul,Social,66
Swathi,Maths,96
Swathi,Science,93
Swathi,English,90
Swathi,Tamil,94
Swathi,Social,91
Vignesh,Maths,55
Vignesh,Science,60
Vignesh,English,58
Vignesh,Tamil,62
Vignesh,Social,57
Nithya,Maths,87
Nithya,Science,84
Nithya,English,82
Nithya,Tamil,85
Nithya,Social,88
